Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
935,Kingsburg Independent Study High,https://www.schooldigger.com/go/CA/schools/1983012859/school.aspx,Kingsburg Joint Union High,https://www.schooldigger.com/go/CA/district/19830/search.aspx,2311 Sierra St.,Kingsburg,https://www.schooldigger.com/go/CA/city/Kingsburg/search.aspx,93631,Fresno County,(559) 897-3880,9,12,Yes,No,No,Yes,44,1.4,29.50,0.80,0.00,0.00,0.00,0.66,0.00,0.00,0.34,51.7
936,Trona High,https://www.schooldigger.com/go/CA/schools/3984006609/school.aspx,Trona Joint Unified,https://www.schooldigger.com/go/CA/district/39840/search.aspx,83600 Trona Rd.,Trona,https://www.schooldigger.com/go/CA/city/Trona/search.aspx,93562,San Bernardino County,(760) 372-2824,7,12,Yes,No,No,No,133,9.4,14.10,0.77,0.08,0.02,0.00,0.32,0.00,0.05,0.53,51.7
937,Riverside Preparatory,https://www.schooldigger.com/go/CA/schools/2895011863/school.aspx,Oro Grande,https://www.schooldigger.com/go/CA/district/28950/search.aspx,19121 Third St.,Oro Grande,https://www.schooldigger.com/go/CA/city/Oro+Grande/search.aspx,92368,San Bernardino County,(760) 243-5884,KG,12,Yes,Yes,No,No,2302,104.1,22.10,0.73,0.17,0.01,0.01,0.55,0.01,0.05,0.20,51.7
938,Tulare Western High,https://www.schooldigger.com/go/CA/schools/3993006620/school.aspx,Tulare Joint Union High,https://www.schooldigger.com/go/CA/district/39930/search.aspx,824 W. Maple Ave.,Tulare,https://www.schooldigger.com/go/CA/city/Tulare/search.aspx,93274,Tulare County,(559) 686-8751,9,12,Yes,No,No,No,2052,83.3,24.60,0.69,0.03,0.00,0.02,0.77,0.00,0.02,0.16,51.6
939,Gorman Learning Center,https://www.schooldigger.com/go/CA/schools/0211708502/school.aspx,Gorman Learning Center District,https://www.schooldigger.com/go/CA/district/02117/search.aspx,1826 Orange Tree Ln.,Redlands,https://www.schooldigger.com/go/CA/city/Redlands/search.aspx,92374,San Bernardino County,(909) 307-6312,KG,12,Yes,Yes,No,No,1292,64.4,20.00,0.40,0.07,0.00,0.04,0.36,0.00,0.10,0.43,51.6
940,Linden High,https://www.schooldigger.com/go/CA/schools/2181002589/school.aspx,Linden Unified,https://www.schooldigger.com/go/CA/district/21810/search.aspx,18527 E. Front St.,Linden,https://www.schooldigger.com/go/CA/city/Linden/search.aspx,95236,San Joaquin County,(209) 887-3073,9,12,No,No,No,No,672,32.9,20.40,0.57,0.01,0.00,0.03,0.64,0.00,0.02,0.30,51.5
941,Estancia High,https://www.schooldigger.com/go/CA/schools/2724004114/school.aspx,Newport-Mesa Unified,https://www.schooldigger.com/go/CA/district/27240/search.aspx,2323 Placentia Ave.,Costa Mesa,https://www.schooldigger.com/go/CA/city/Costa+Mesa/search.aspx,92627,Orange County,(949) 515-6500,9,12,Yes,No,No,No,1268,54.2,23.30,0.73,0.01,0.00,0.04,0.77,0.01,0.01,0.17,51.5
942,South Sutter Charter,https://www.schooldigger.com/go/CA/schools/0174011518/school.aspx,South Sutter Charter District,https://www.schooldigger.com/go/CA/district/01740/search.aspx,2452 El Centro Blvd.,East Nicolaus,https://www.schooldigger.com/go/CA/city/East+Nicolaus/search.aspx,95659,Sutter County,(800) 979-4436,KG,12,Yes,Yes,No,No,2027,82.9,24.40,0.38,0.02,0.01,0.03,0.17,0.01,0.16,0.61,51.5
943,Las Plumas High,https://www.schooldigger.com/go/CA/schools/2913004495/school.aspx,Oroville Union High,https://www.schooldigger.com/go/CA/district/29130/search.aspx,2380 Las Plumas Ave.,Oroville,https://www.schooldigger.com/go/CA/city/Oroville/search.aspx,95966,Butte County,(530) 538-2310,9,12,Yes,No,No,No,1073,48.2,22.20,0.71,0.03,0.09,0.09,0.25,0.01,0.01,0.53,51.5
944,Cambridge Virtual Academy at Polaris,https://www.schooldigger.com/go/CA/schools/0263008115/school.aspx,Anaheim Union High,https://www.schooldigger.com/go/CA/district/02630/search.aspx,1800 W. Ball Rd.,Anaheim,https://www.schooldigger.com/go/CA/city/Anaheim/search.aspx,92804,Orange County,(714) 220-3077,7,12,No,No,No,No,105,4,26.20,0.67,0.02,0.02,0.06,0.67,0.00,0.01,0.23,51.4
945,Pivot Charter School Riverside,https://www.schooldigger.com/go/CA/schools/0221414240/school.aspx,Pivot Charter School Riverside District,https://www.schooldigger.com/go/CA/district/02214/search.aspx,700 N. Main St.,Corona,https://www.schooldigger.com/go/CA/city/Corona/search.aspx,92880,Riverside County,(951) 280-0229,KG,12,(n/a),Yes,No,Yes,125,43.2,2.80,0.52,0.02,0.02,0.02,0.50,0.00,0.04,0.39,51.4
946,Concord High,https://www.schooldigger.com/go/CA/schools/2637003942/school.aspx,Mt. Diablo Unified,https://www.schooldigger.com/go/CA/district/26370/search.aspx,4200 Concord Blvd.,Concord,https://www.schooldigger.com/go/CA/city/Concord/search.aspx,94521,Contra Costa County,(925) 687-2030,9,12,No,No,No,No,1385,69.5,19.90,0.53,0.04,0.00,0.12,0.51,0.01,0.04,0.29,51.3
947,Abraham Lincoln High,https://www.schooldigger.com/go/CA/schools/3459005696/school.aspx,San Jose Unified,https://www.schooldigger.com/go/CA/district/34590/search.aspx,555 Dana Ave.,San Jose,https://www.schooldigger.com/go/CA/city/San+Jose/search.aspx,95126,Santa Clara County,(408) 535-6300,9,12,Yes,No,No,No,1805,78.2,23.00,0.54,0.03,0.00,0.05,0.74,0.01,0.03,0.14,51.3
948,Fontana High,https://www.schooldigger.com/go/CA/schools/1392001589/school.aspx,Fontana Unified,https://www.schooldigger.com/go/CA/district/13920/search.aspx,9453 Citrus Ave.,Fontana,https://www.schooldigger.com/go/CA/city/Fontana/search.aspx,92335,San Bernardino County,(909) 357-5500,9,12,Yes,No,No,No,2454,116.2,21.10,0.93,0.02,0.00,0.01,0.94,0.00,0.00,0.02,51.2
949,Summit High,https://www.schooldigger.com/go/CA/schools/1392011099/school.aspx,Fontana Unified,https://www.schooldigger.com/go/CA/district/13920/search.aspx,15551 Summit Ave.,Fontana,https://www.schooldigger.com/go/CA/city/Fontana/search.aspx,92336,San Bernardino County,(909) 357-5950,9,12,Yes,No,No,No,2498,109.6,22.70,0.66,0.09,0.00,0.07,0.75,0.00,0.01,0.08,51.2
950,Humphreys College Academy of Business Law and Education,https://www.schooldigger.com/go/CA/schools/0162813064/school.aspx,Humphreys College Academy of Business Law and Educational D,https://www.schooldigger.com/go/CA/district/01628/search.aspx,6515 Inglewood Ave.,Stockton,https://www.schooldigger.com/go/CA/city/Stockton/search.aspx,95207,San Joaquin County,(209) 478-1600,KG,12,(n/a),Yes,No,No,814,45.8,17.70,0.81,0.09,0.01,0.12,0.60,0.01,0.09,0.08,51.2
951,Segerstrom High,https://www.schooldigger.com/go/CA/schools/3531010990/school.aspx,Santa Ana Unified,https://www.schooldigger.com/go/CA/district/35310/search.aspx,2301 W. MacArthur Blvd.,Santa Ana,https://www.schooldigger.com/go/CA/city/Santa+Ana/search.aspx,92704,Orange County,(714) 241-5000,9,12,Yes,No,No,No,2435,89.3,27.20,0.68,0.00,0.00,0.07,0.90,0.00,0.01,0.01,51.1
952,Will C. Wood High,https://www.schooldigger.com/go/CA/schools/4059009648/school.aspx,Vacaville Unified,https://www.schooldigger.com/go/CA/district/40590/search.aspx,998 Marshall Rd.,Vacaville,https://www.schooldigger.com/go/CA/city/Vacaville/search.aspx,95687,Solano County,(707) 453-6900,9,12,No,No,No,No,1682,78.4,21.40,0.44,0.10,0.00,0.08,0.38,0.01,0.09,0.34,51
953,Lathrop High,https://www.schooldigger.com/go/CA/schools/2361012065/school.aspx,Manteca Unified,https://www.schooldigger.com/go/CA/district/23610/search.aspx,647 W. Lathrop Rd.,Lathrop,https://www.schooldigger.com/go/CA/city/Lathrop/search.aspx,95330,San Joaquin County,(209) 938-6350,9,12,Yes,No,No,No,1266,63.3,19.90,0.54,0.07,0.00,0.27,0.52,0.02,0.02,0.10,50.9
954,Hayward High,https://www.schooldigger.com/go/CA/schools/1674002116/school.aspx,Hayward Unified,https://www.schooldigger.com/go/CA/district/16740/search.aspx,1633 E. Ave.,Hayward,https://www.schooldigger.com/go/CA/city/Hayward/search.aspx,94541,Alameda County,(510) 723-3170,9,12,Yes,No,No,No,1637,72,22.70,0.69,0.15,0.00,0.10,0.62,0.02,0.03,0.07,50.9
955,Olive Grove Charter - Buellton,https://www.schooldigger.com/go/CA/schools/0150114258/school.aspx,Olive Grove Charter - Buellton District,https://www.schooldigger.com/go/CA/district/01501/search.aspx,240 E. Highway 246,Buellton,https://www.schooldigger.com/go/CA/city/Buellton/search.aspx,93427,Santa Barbara County,(805) 623-1111,KG,12,(n/a),Yes,No,No,83,7.3,11.30,0.27,0.01,0.01,0.00,0.33,0.00,0.05,0.60,50.7
956,Aspire Ollin University Preparatory Academy,https://www.schooldigger.com/go/CA/schools/0185711655/school.aspx,Aspire Ollin University Preparatory Academy District,https://www.schooldigger.com/go/CA/district/01857/search.aspx,2540 E. 58th St.,Huntington Park,https://www.schooldigger.com/go/CA/city/Huntington+Park/search.aspx,90255,Los Angeles County,(323) 277-2901,6,12,Yes,Yes,No,No,599,19.1,31.30,0.96,0.01,0.00,0.00,0.99,0.00,0.00,0.00,50.7
957,Windsor High,https://www.schooldigger.com/go/CA/schools/0003405470/school.aspx,Windsor Unified,https://www.schooldigger.com/go/CA/district/00034/search.aspx,8695 Windsor Rd.,Windsor,https://www.schooldigger.com/go/CA/city/Windsor/search.aspx,95492,Sonoma County,(707) 837-7767,9,12,No,No,No,No,1742,83,20.90,0.32,0.01,0.01,0.02,0.46,0.01,0.02,0.47,50.7
958,Deer Valley High,https://www.schooldigger.com/go/CA/schools/0285005724/school.aspx,Antioch Unified,https://www.schooldigger.com/go/CA/district/02850/search.aspx,4700 Lone Tree Way,Antioch,https://www.schooldigger.com/go/CA/city/Antioch/search.aspx,94531,Contra Costa County,(925) 776-5555,9,12,No,No,No,No,1986,81.5,24.30,0.60,0.31,0.01,0.14,0.34,0.01,0.06,0.14,50.7
959,Bell Senior High,https://www.schooldigger.com/go/CA/schools/2271002844/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,4328 Bell Ave.,Bell,https://www.schooldigger.com/go/CA/city/Bell/search.aspx,90201,Los Angeles County,(323) 832-4700,9,12,Yes,No,Yes,No,2395,98.8,24.20,0.92,0.00,0.00,0.00,0.96,0.00,0.00,0.03,50.5
960,California Connections Academy@Central,https://www.schooldigger.com/go/CA/schools/0241111819/school.aspx,California Connections Academy@Central District,https://www.schooldigger.com/go/CA/district/02411/search.aspx,5313 Rd. 39,Alpaugh,https://www.schooldigger.com/go/CA/city/Alpaugh/search.aspx,93201,Tulare County,(559) 713-1324,KG,12,Yes,Yes,No,Yes,494,13.3,37.00,0.58,0.03,0.00,0.01,0.44,0.00,0.11,0.41,50.5
961,Health Sciences High and Middle College,https://www.schooldigger.com/go/CA/schools/0237412179/school.aspx,Health Sciences High District,https://www.schooldigger.com/go/CA/district/02374/search.aspx,3910 Univ Ave. Ste. 100,San Diego,https://www.schooldigger.com/go/CA/city/San+Diego/search.aspx,92105,San Diego County,(619) 528-9070,9,12,Yes,Yes,No,No,575,27.5,20.90,0.70,0.20,0.00,0.05,0.67,0.00,0.04,0.05,50.5
962,Mountain View High,https://www.schooldigger.com/go/CA/schools/1212001365/school.aspx,El Monte Union High,https://www.schooldigger.com/go/CA/district/12120/search.aspx,2900 Pkwy. Dr.,El Monte,https://www.schooldigger.com/go/CA/city/El+Monte/search.aspx,91732,Los Angeles County,(626) 443-6181,9,12,Yes,No,No,No,1347,68,19.70,0.93,0.00,0.00,0.06,0.93,0.00,0.00,0.00,50.4
963,School of Arts and Enterprise,https://www.schooldigger.com/go/CA/schools/0218011207/school.aspx,School of Arts and Enterprise District,https://www.schooldigger.com/go/CA/district/02180/search.aspx,295 N. Garey Ave.,Pomona,https://www.schooldigger.com/go/CA/city/Pomona/search.aspx,91767,Los Angeles County,(909) 622-0699,6,12,Yes,Yes,No,No,732,47,15.50,0.71,0.05,0.01,0.03,0.79,0.00,0.03,0.09,50.4
964,Encore Junior/Senior High School for the Perf and Visual Arts,https://www.schooldigger.com/go/CA/schools/0152312375/school.aspx,Encore Junior/Senior High School for the Perf & Visual Arts,https://www.schooldigger.com/go/CA/district/01523/search.aspx,16955 Lemon St.,Hesperia,https://www.schooldigger.com/go/CA/city/Hesperia/search.aspx,92345,San Bernardino County,(760) 956-2632,7,12,Yes,Yes,No,No,1017,33.5,30.30,0.59,0.12,0.01,0.02,0.53,0.01,0.03,0.29,50.3
965,Roseland Charter,https://www.schooldigger.com/go/CA/schools/0233411178/school.aspx,Roseland Charter District,https://www.schooldigger.com/go/CA/district/02334/search.aspx,1691 Burbank Ave.,Santa Rosa,https://www.schooldigger.com/go/CA/city/Santa+Rosa/search.aspx,95407,Sonoma County,(707) 545-0102,KG,12,Yes,Yes,No,No,1500,66.8,22.40,0.89,0.01,0.01,0.01,0.93,0.00,0.02,0.03,50.3
966,Gridley High,https://www.schooldigger.com/go/CA/schools/0005102016/school.aspx,Gridley Unified,https://www.schooldigger.com/go/CA/district/00051/search.aspx,300 E. Spruce St.,Gridley,https://www.schooldigger.com/go/CA/city/Gridley/search.aspx,95948,Butte County,(530) 846-4791,9,12,Yes,No,No,No,666,25,26.50,0.69,0.00,0.01,0.03,0.57,0.00,0.01,0.38,50.2
967,Walnutwood High (Independent Study),https://www.schooldigger.com/go/CA/schools/1389009821/school.aspx,Folsom-Cordova Unified,https://www.schooldigger.com/go/CA/district/13890/search.aspx,10850 Gadsten Way,Rancho Cordova,https://www.schooldigger.com/go/CA/city/Rancho+Cordova/search.aspx,95670,Sacramento County,(916) 294-9105,KG,12,No,No,No,No,198,10.2,19.30,0.37,0.05,0.01,0.03,0.21,0.00,0.09,0.62,50.2
968,Aspire Lionel Wilson College Preparatory Academy,https://www.schooldigger.com/go/CA/schools/0221210459/school.aspx,Aspire Lionel Wilson College Preparatory Academy District,https://www.schooldigger.com/go/CA/district/02212/search.aspx,400 105th Ave.,Oakland,https://www.schooldigger.com/go/CA/city/Oakland/search.aspx,94603,Alameda County,(510) 635-7737,6,12,Yes,Yes,No,No,525,18.3,28.50,0.83,0.04,0.00,0.00,0.94,0.01,0.01,0.00,50.2
969,Nogales High,https://www.schooldigger.com/go/CA/schools/3375005207/school.aspx,Rowland Unified,https://www.schooldigger.com/go/CA/district/33750/search.aspx,401 S. Nogales St.,La Puente,https://www.schooldigger.com/go/CA/city/La+Puente/search.aspx,91744,Los Angeles County,(626) 965-3437,9,12,Yes,No,No,No,1891,82.5,22.90,0.86,0.01,0.00,0.10,0.86,0.00,0.01,0.02,50.2
970,James A. Garfield Senior High,https://www.schooldigger.com/go/CA/schools/2271003037/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,5101 E. Sixth St.,Los Angeles,https://www.schooldigger.com/go/CA/city/Los+Angeles/search.aspx,90022,Los Angeles County,(323) 981-5500,9,12,Yes,No,Yes,No,2569,104.3,24.60,0.92,0.00,0.00,0.00,0.99,0.00,0.00,0.00,50.2
971,West High,https://www.schooldigger.com/go/CA/schools/1954002356/school.aspx,Kern High,https://www.schooldigger.com/go/CA/district/19540/search.aspx,1200 New Stine Rd.,Bakersfield,https://www.schooldigger.com/go/CA/city/Bakersfield/search.aspx,93309,Kern County,(661) 832-2822,9,12,Yes,No,No,No,2011,82,24.40,0.82,0.15,0.00,0.03,0.68,0.00,0.02,0.11,50.2
972,Oscar De La Hoya Animo Charter High,https://www.schooldigger.com/go/CA/schools/0223511313/school.aspx,Oscar De La Hoya Animo Charter High District,https://www.schooldigger.com/go/CA/district/02235/search.aspx,1114 S. Lorena St.,Los Angeles,https://www.schooldigger.com/go/CA/city/Los+Angeles/search.aspx,90023,Los Angeles County,(323) 780-1259,9,12,Yes,Yes,No,No,611,29,21.00,0.96,0.00,0.00,0.00,0.99,0.00,0.01,0.01,50.1
973,Holtville High,https://www.schooldigger.com/go/CA/schools/1743002185/school.aspx,Holtville Unified,https://www.schooldigger.com/go/CA/district/17430/search.aspx,755 Olive Ave.,Holtville,https://www.schooldigger.com/go/CA/city/Holtville/search.aspx,92250,Imperial County,(760) 356-2926,9,12,Yes,No,No,No,528,26.5,19.90,0.72,0.00,0.00,0.00,0.87,0.00,0.02,0.11,50.1
974,Accelerated Achievement Academy,https://www.schooldigger.com/go/CA/schools/0187710552/school.aspx,Accelerated Achievement Academy District,https://www.schooldigger.com/go/CA/district/01877/search.aspx,1031 N. State St.,Ukiah,https://www.schooldigger.com/go/CA/city/Ukiah/search.aspx,95482,Mendocino County,(707) 463-7080,4,12,Yes,Yes,No,No,146,7,20.80,0.86,0.00,0.06,0.01,0.46,0.00,0.08,0.40,50
975,Winters High,https://www.schooldigger.com/go/CA/schools/4293006986/school.aspx,Winters Joint Unified,https://www.schooldigger.com/go/CA/district/42930/search.aspx,101 Grant Ave.,Winters,https://www.schooldigger.com/go/CA/city/Winters/search.aspx,95694,Yolo County,(530) 795-6140,9,12,Yes,No,No,No,458,21.3,21.40,0.59,0.01,0.01,0.01,0.62,0.00,0.01,0.34,50
976,The MET,https://www.schooldigger.com/go/CA/schools/3384011194/school.aspx,Sacramento City Unified,https://www.schooldigger.com/go/CA/district/33840/search.aspx,810 V St.,Sacramento,https://www.schooldigger.com/go/CA/city/Sacramento/search.aspx,95818,Sacramento County,(916) 395-5417,9,12,Yes,Yes,No,No,275,13.5,20.20,0.60,0.10,0.00,0.04,0.42,0.00,0.09,0.35,50
977,Nea Community Learning Center,https://www.schooldigger.com/go/CA/schools/0188712399/school.aspx,Nea Community Learning Center District,https://www.schooldigger.com/go/CA/district/01887/search.aspx,1900 Third St.,Alameda,https://www.schooldigger.com/go/CA/city/Alameda/search.aspx,94501,Alameda County,(510) 748-4008,KG,12,Yes,Yes,No,No,579,26.6,21.70,0.35,0.16,0.00,0.15,0.21,0.00,0.18,0.30,50
978,Napa Valley Independent Studies,https://www.schooldigger.com/go/CA/schools/2664011271/school.aspx,Napa Valley Unified,https://www.schooldigger.com/go/CA/district/26640/search.aspx,1400 Menlo Ave,Napa,https://www.schooldigger.com/go/CA/city/Napa/search.aspx,94558,Napa County,(707) 259-8577,KG,12,No,No,No,No,149,10.1,14.70,0.28,0.01,0.00,0.03,0.36,0.01,0.05,0.55,50
979,Le Grand High,https://www.schooldigger.com/go/CA/schools/2127002548/school.aspx,Le Grand Union High,https://www.schooldigger.com/go/CA/district/21270/search.aspx,12961 E. Le Grand Rd.,Le Grand,https://www.schooldigger.com/go/CA/city/Le+Grand/search.aspx,95333,Merced County,(209) 389-9400,9,12,Yes,No,No,No,479,25.2,18.90,0.79,0.00,0.01,0.00,0.90,0.00,0.03,0.05,49.9
980,Mission Oak High,https://www.schooldigger.com/go/CA/schools/3993012084/school.aspx,Tulare Joint Union High,https://www.schooldigger.com/go/CA/district/39930/search.aspx,3442 E. Bardsley Ave.,Tulare,https://www.schooldigger.com/go/CA/city/Tulare/search.aspx,93274,Tulare County,(559) 688-2021,9,12,Yes,No,No,No,1554,66.4,23.30,0.64,0.02,0.00,0.02,0.76,0.00,0.00,0.19,49.9
981,South East High,https://www.schooldigger.com/go/CA/schools/2271010888/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,2720 Tweedy Blvd.,South Gate,https://www.schooldigger.com/go/CA/city/South+Gate/search.aspx,90280,Los Angeles County,(323) 568-3400,9,12,Yes,No,Yes,No,2006,77,26.00,0.91,0.02,0.00,0.00,0.97,0.00,0.00,0.01,49.8
982,Corcoran High,https://www.schooldigger.com/go/CA/schools/0969001035/school.aspx,Corcoran Joint Unified,https://www.schooldigger.com/go/CA/district/09690/search.aspx,1100 Letts Ave.,Corcoran,https://www.schooldigger.com/go/CA/city/Corcoran/search.aspx,93212,Kings County,(559) 992-8884,9,12,Yes,No,No,No,864,40,21.50,0.83,0.03,0.00,0.01,0.89,0.00,0.00,0.07,49.8
983,North Monterey County High,https://www.schooldigger.com/go/CA/schools/2759004146/school.aspx,North Monterey County Unified,https://www.schooldigger.com/go/CA/district/27590/search.aspx,13990 Castroville Blvd.,Castroville,https://www.schooldigger.com/go/CA/city/Castroville/search.aspx,95012,Monterey County,(831) 633-5221,9,12,Yes,No,No,No,1263,55.9,22.50,0.81,0.01,0.00,0.02,0.85,0.00,0.00,0.12,49.7
984,Hollywood Senior High,https://www.schooldigger.com/go/CA/schools/2271003088/school.aspx,Los Angeles Unified,https://www.schooldigger.com/go/CA/district/22710/search.aspx,1521 N. Highland Ave.,Los Angeles,https://www.schooldigger.com/go/CA/city/Los+Angeles/search.aspx,90028,Los Angeles County,(323) 993-1700,9,12,Yes,No,Yes,No,1481,62,23.80,0.86,0.12,0.00,0.08,0.68,0.00,0.00,0.12,49.7
985,Lindsay Senior High,https://www.schooldigger.com/go/CA/schools/2187002595/school.aspx,Lindsay Unified,https://www.schooldigger.com/go/CA/district/21870/search.aspx,1849 E. Tulare Rd.,Lindsay,https://www.schooldigger.com/go/CA/city/Lindsay/search.aspx,93247,Tulare County,(559) 562-5911,9,12,Yes,No,No,No,1088,50.9,21.30,0.88,0.00,0.00,0.02,0.94,0.00,0.00,0.03,49.7
986,Modoc High,https://www.schooldigger.com/go/CA/schools/2519003764/school.aspx,Modoc Joint Unified,https://www.schooldigger.com/go/CA/district/25190/search.aspx,900 N. Main St.,Alturas,https://www.schooldigger.com/go/CA/city/Alturas/search.aspx,96101,Modoc County,(530) 233-7201,9,12,No,No,No,No,264,13.7,19.20,0.63,0.02,0.08,0.02,0.20,0.00,0.02,0.67,49.6
987,East Nicolaus High,https://www.schooldigger.com/go/CA/schools/1178001299/school.aspx,East Nicolaus Joint Union High,https://www.schooldigger.com/go/CA/district/11780/search.aspx,2454 Nicolaus Ave.,Nicolaus,https://www.schooldigger.com/go/CA/city/Nicolaus/search.aspx,95659,Sutter County,(530) 656-2255,9,12,Yes,No,No,No,301,15.9,18.80,0.36,0.01,0.01,0.05,0.21,0.01,0.05,0.66,49.6
988,Rancho Mirage High,https://www.schooldigger.com/go/CA/schools/2955013149/school.aspx,Palm Springs Unified,https://www.schooldigger.com/go/CA/district/29550/search.aspx,31001 Rattler Rd.,Rancho Mirage,https://www.schooldigger.com/go/CA/city/Rancho+Mirage/search.aspx,92270,Riverside County,(760) 416-6055,9,12,Yes,No,No,No,1570,66.1,23.70,0.77,0.03,0.01,0.05,0.74,0.00,0.02,0.16,49.6
989,Mt. Eden High,https://www.schooldigger.com/go/CA/schools/1674002124/school.aspx,Hayward Unified,https://www.schooldigger.com/go/CA/district/16740/search.aspx,2300 Panama St.,Hayward,https://www.schooldigger.com/go/CA/city/Hayward/search.aspx,94545,Alameda County,(510) 723-3180,9,12,Yes,No,No,No,1979,85.2,23.20,0.65,0.08,0.01,0.28,0.55,0.04,0.02,0.04,49.5
990,Oakdale High,https://www.schooldigger.com/go/CA/schools/0006204231/school.aspx,Oakdale Joint Unified,https://www.schooldigger.com/go/CA/district/00062/search.aspx,739 W. G St.,Oakdale,https://www.schooldigger.com/go/CA/city/Oakdale/search.aspx,95361,Stanislaus County,(209) 847-3007,9,12,No,No,No,No,1690,69.8,24.10,0.36,0.01,0.01,0.02,0.35,0.00,0.01,0.60,49.4
991,Vista Alternative,https://www.schooldigger.com/go/CA/schools/1440009369/school.aspx,Fremont Unified,https://www.schooldigger.com/go/CA/district/14400/search.aspx,4455 Seneca Park Ave.,Fremont,https://www.schooldigger.com/go/CA/city/Fremont/search.aspx,94538,Alameda County,(510) 657-7028,7,12,Yes,No,No,No,34,3,11.30,0.56,0.09,0.00,0.15,0.18,0.06,0.06,0.47,49.4
992,Woodland Senior High,https://www.schooldigger.com/go/CA/schools/4308007011/school.aspx,Woodland Joint Unified,https://www.schooldigger.com/go/CA/district/43080/search.aspx,21 N. W. St.,Woodland,https://www.schooldigger.com/go/CA/city/Woodland/search.aspx,95695,Yolo County,(530) 662-4678,9,12,Yes,No,No,No,1325,68.9,19.20,0.59,0.01,0.01,0.03,0.71,0.01,0.02,0.20,49.3
993,Oakland Technical High,https://www.schooldigger.com/go/CA/schools/2805004305/school.aspx,Oakland Unified,https://www.schooldigger.com/go/CA/district/28050/search.aspx,4351 BRd.way,Oakland,https://www.schooldigger.com/go/CA/city/Oakland/search.aspx,94611,Alameda County,(510) 450-5400,9,12,Yes,No,No,No,2016,103.8,19.40,0.48,0.27,0.00,0.21,0.17,0.00,0.09,0.26,49.3
994,Highland High,https://www.schooldigger.com/go/CA/schools/1954002345/school.aspx,Kern High,https://www.schooldigger.com/go/CA/district/19540/search.aspx,2900 Royal Scots Way,Bakersfield,https://www.schooldigger.com/go/CA/city/Bakersfield/search.aspx,93306,Kern County,(661) 872-2777,9,12,Yes,No,No,No,2220,91.1,24.30,0.72,0.06,0.01,0.03,0.71,0.00,0.01,0.17,49.3
995,East Union High,https://www.schooldigger.com/go/CA/schools/2361003577/school.aspx,Manteca Unified,https://www.schooldigger.com/go/CA/district/23610/search.aspx,1700 N. Union Rd.,Manteca,https://www.schooldigger.com/go/CA/city/Manteca/search.aspx,95336,San Joaquin County,(209) 858-7270,9,12,Yes,No,No,No,1603,78.6,20.30,0.51,0.03,0.01,0.08,0.59,0.01,0.02,0.26,49.2
996,Independence High,https://www.schooldigger.com/go/CA/schools/0004812391/school.aspx,Paso Robles Joint Unified,https://www.schooldigger.com/go/CA/district/00048/search.aspx,812 Niblick Rd.,Paso Robles,https://www.schooldigger.com/go/CA/city/Paso+Robles/search.aspx,93446,San Luis Obispo County,(805) 769-1620,9,12,No,No,No,No,112,4.3,25.90,0.21,0.02,0.00,0.03,0.37,0.00,0.05,0.55,49.1
997,Selma High,https://www.schooldigger.com/go/CA/schools/3627006188/school.aspx,Selma Unified,https://www.schooldigger.com/go/CA/district/36270/search.aspx,3125 Wright St.,Selma,https://www.schooldigger.com/go/CA/city/Selma/search.aspx,93662,Fresno County,(559) 898-6550,9,12,Yes,No,No,No,1791,74.6,24.00,0.77,0.00,0.00,0.05,0.89,0.00,0.00,0.05,49.1
998,King City High,https://www.schooldigger.com/go/CA/schools/1965002360/school.aspx,South Monterey County Joint Union High,https://www.schooldigger.com/go/CA/district/19650/search.aspx,720 BRd.way St.,King City,https://www.schooldigger.com/go/CA/city/King+City/search.aspx,93930,Monterey County,(831) 385-5461,9,12,Yes,No,No,No,1084,42.9,25.20,0.76,0.00,0.02,0.02,0.89,0.00,0.01,0.07,49.1
999,Yuba City Independence Academy,https://www.schooldigger.com/go/CA/schools/4347010154/school.aspx,Yuba City Unified,https://www.schooldigger.com/go/CA/district/43470/search.aspx,984 B St.,Yuba City,https://www.schooldigger.com/go/CA/city/Yuba+City/search.aspx,95991,Sutter County,(530) 822-5244,KG,12,Yes,No,No,No,64,5.2,12.10,0.80,0.00,0.00,0.08,0.41,0.00,0.13,0.39,49.1
1000,Pacheco High,https://www.schooldigger.com/go/CA/schools/2274012432/school.aspx,Los Banos Unified,https://www.schooldigger.com/go/CA/district/22740/search.aspx,200 N. Ward Rd.,Los Banos,https://www.schooldigger.com/go/CA/city/Los+Banos/search.aspx,93635,Merced County,(209) 826-3801,9,12,Yes,No,No,No,1761,76,23.10,0.75,0.02,0.00,0.02,0.88,0.01,0.01,0.07,49
