School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Danbury High School,https://www.schooldigger.com/go/TX/schools/1629001393/school.aspx,Danbury Independent School District,https://www.schooldigger.com/go/TX/district/16290/search.aspx,Danbury,https://www.schooldigger.com/go/TX/city/Danbury/search.aspx,77534,Brazoria,(979) 922-1226,9,12,No,No,No,Yes,225,17,13.2,0.19,0.01,0.04,0,0.19,0,0.02,0.74,51.5
Bandera High School,https://www.schooldigger.com/go/TX/schools/0936000395/school.aspx,Bandera Independent School District,https://www.schooldigger.com/go/TX/district/09360/search.aspx,Bandera,https://www.schooldigger.com/go/TX/city/Bandera/search.aspx,78003,Bandera,(830) 796-6254,9,12,Yes,No,No,Yes,678,55,12.3,0.41,0.01,0.01,0,0.28,0,0.01,0.7,51.5
Longview High School,https://www.schooldigger.com/go/TX/schools/2811003146/school.aspx,Longview Independent School District,https://www.schooldigger.com/go/TX/district/28110/search.aspx,Longview,https://www.schooldigger.com/go/TX/city/Longview/search.aspx,75605,Gregg,(903) 663-1301,9,12,Yes,No,No,No,1920,136,14.1,0.52,0.4,0,0.01,0.33,0,0.02,0.23,51.3
Mabank High School,https://www.schooldigger.com/go/TX/schools/2868003248/school.aspx,Mabank Independent School District,https://www.schooldigger.com/go/TX/district/28680/search.aspx,Mabank,https://www.schooldigger.com/go/TX/city/Mabank/search.aspx,75147,Kaufman,(903) 880-1600,9,12,Yes,No,No,Yes,1023,72,14.2,0.52,0.01,0.01,0.01,0.13,0,0.03,0.81,51.3
School Of Science And Technology Corpus Christi,https://www.schooldigger.com/go/TX/schools/0140012144/school.aspx,School Of Science And Technology Discovery,https://www.schooldigger.com/go/TX/district/01400/search.aspx,Corpus Christi,https://www.schooldigger.com/go/TX/city/Corpus+Christi/search.aspx,78413,Nueces,(361) 851-2450,KG,12,Yes,Yes,No,No,673,45,14.9,0.62,0.05,0,0.03,0.74,0,0,0.18,51.3
Carthage High School,https://www.schooldigger.com/go/TX/schools/1311000812/school.aspx,Carthage Independent School District,https://www.schooldigger.com/go/TX/district/13110/search.aspx,Carthage,https://www.schooldigger.com/go/TX/city/Carthage/search.aspx,75633,Panola,(903) 693-2552,9,12,Yes,No,No,No,731,67,10.9,0.44,0.23,0,0.01,0.15,0,0.02,0.59,51.2
Colorado High School,https://www.schooldigger.com/go/TX/schools/1464000951/school.aspx,Colorado Independent School District,https://www.schooldigger.com/go/TX/district/14640/search.aspx,Colorado City,https://www.schooldigger.com/go/TX/city/Colorado+City/search.aspx,79512,Mitchell,(325) 728-3424,9,12,Yes,No,No,No,284,24,11.8,0.42,0.08,0,0.01,0.53,0,0.02,0.36,51.2
Bel Air High School,https://www.schooldigger.com/go/TX/schools/4668005307/school.aspx,Ysleta Independent School District,https://www.schooldigger.com/go/TX/district/46680/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79915,El Paso,(915) 434-2000,9,12,Yes,No,No,Yes,2064,132,15.6,0.8,0.01,0,0,0.97,0,0,0.03,51.2
Collinsville High School,https://www.schooldigger.com/go/TX/schools/1458000948/school.aspx,Collinsville Independent School District,https://www.schooldigger.com/go/TX/district/14580/search.aspx,Collinsville,https://www.schooldigger.com/go/TX/city/Collinsville/search.aspx,76233,Grayson,(903) 429-6164,7,12,Yes,No,No,Yes,264,22,12,0.36,0.02,0,0,0.16,0,0.02,0.8,51.2
Schulenburg Secondary,https://www.schooldigger.com/go/TX/schools/3954004494/school.aspx,Schulenburg Independent School District,https://www.schooldigger.com/go/TX/district/39540/search.aspx,Schulenburg,https://www.schooldigger.com/go/TX/city/Schulenburg/search.aspx,78956,Fayette,(979) 743-3605,6,12,Yes,No,No,No,362,34,10.6,0.48,0.14,0,0,0.32,0,0.01,0.52,51.2
Crandall High School,https://www.schooldigger.com/go/TX/schools/1551001123/school.aspx,Crandall Independent School District,https://www.schooldigger.com/go/TX/district/15510/search.aspx,Crandall,https://www.schooldigger.com/go/TX/city/Crandall/search.aspx,75114,Kaufman,(972) 427-6150,9,12,No,No,No,No,921,53,17.3,0.33,0.1,0,0.01,0.16,0,0.01,0.71,51.1
Palacios High School,https://www.schooldigger.com/go/TX/schools/3402003782/school.aspx,Palacios Independent School District,https://www.schooldigger.com/go/TX/district/34020/search.aspx,Palacios,https://www.schooldigger.com/go/TX/city/Palacios/search.aspx,77465,Matagorda,(361) 972-2571,9,12,Yes,No,No,Yes,425,37,11.4,0.63,0.03,0,0.1,0.63,0,0.02,0.21,51
Bellevue School,https://www.schooldigger.com/go/TX/schools/0975000446/school.aspx,Bellevue Independent School District,https://www.schooldigger.com/go/TX/district/09750/search.aspx,Bellevue,https://www.schooldigger.com/go/TX/city/Bellevue/search.aspx,76228,Clay,(940) 928-2104,KG,12,Yes,No,No,No,147,17,8.6,0.48,0.01,0.01,0,0.06,0,0.09,0.84,51
Chapin High School,https://www.schooldigger.com/go/TX/schools/1830008776/school.aspx,El Paso Independent School District,https://www.schooldigger.com/go/TX/district/18300/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79904,El Paso,(915) 832-6730,9,12,Yes,No,No,Yes,1920,117,16.4,0.48,0.1,0.01,0.01,0.7,0.01,0.02,0.16,50.9
Tlc Academy,https://www.schooldigger.com/go/TX/schools/0140912357/school.aspx,Texas Leadership,https://www.schooldigger.com/go/TX/district/01409/search.aspx,San Angelo,https://www.schooldigger.com/go/TX/city/San+Angelo/search.aspx,76901,Tom Green,(325) 653-3200,KG,12,Yes,Yes,No,No,1198,76,15.7,0.47,0.02,0,0.01,0.54,0,0.02,0.4,50.9
Bellville High School,https://www.schooldigger.com/go/TX/schools/0981000449/school.aspx,Bellville Independent School District,https://www.schooldigger.com/go/TX/district/09810/search.aspx,Bellville,https://www.schooldigger.com/go/TX/city/Bellville/search.aspx,77418,Austin,(979) 865-3681,9,12,Yes,No,No,Yes,606,49,12.3,0.36,0.1,0,0,0.23,0,0.03,0.64,50.9
Red Oak High School,https://www.schooldigger.com/go/TX/schools/3666004106/school.aspx,Red Oak Independent School District,https://www.schooldigger.com/go/TX/district/36660/search.aspx,Red Oak,https://www.schooldigger.com/go/TX/city/Red+Oak/search.aspx,75154,Ellis,(972) 617-3535,9,12,Yes,No,No,Yes,1794,116,15.4,0.39,0.22,0.01,0.01,0.31,0,0.02,0.44,50.9
Keene Wanda R Smith High School,https://www.schooldigger.com/go/TX/schools/2523006726/school.aspx,Keene Independent School District,https://www.schooldigger.com/go/TX/district/25230/search.aspx,Keene,https://www.schooldigger.com/go/TX/city/Keene/search.aspx,76059,Johnson,(817) 774-5220,9,12,Yes,No,No,No,274,29,9.4,0.7,0.04,0.01,0.01,0.4,0.17,0.02,0.35,50.9
Summer Creek High School,https://www.schooldigger.com/go/TX/schools/2391011267/school.aspx,Humble Independent School District,https://www.schooldigger.com/go/TX/district/23910/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77304,Harris,(281) 641-5400,9,12,Yes,No,No,Yes,2427,148,16.3,0.49,0.41,0.01,0.03,0.4,0,0.01,0.14,50.9
Irion High School,https://www.schooldigger.com/go/TX/schools/3036003400/school.aspx,Irion County Independent School District,https://www.schooldigger.com/go/TX/district/30360/search.aspx,Mertzon,https://www.schooldigger.com/go/TX/city/Mertzon/search.aspx,76941,Irion,(325) 835-2881,7,12,Yes,No,No,Yes,175,18,9.7,0.34,0.03,0.01,0,0.26,0,0.01,0.69,50.8
Warren High School,https://www.schooldigger.com/go/TX/schools/4458005084/school.aspx,Warren Independent School District,https://www.schooldigger.com/go/TX/district/44580/search.aspx,Warren,https://www.schooldigger.com/go/TX/city/Warren/search.aspx,77664,Tyler,(409) 547-2243,9,12,Yes,No,No,Yes,379,27,14,0.32,0.01,0,0,0.03,0,0.02,0.93,50.8
Panther Creek School,https://www.schooldigger.com/go/TX/schools/0000706343/school.aspx,Panther Creek Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/00007/search.aspx,Valera,https://www.schooldigger.com/go/TX/city/Valera/search.aspx,76884,Coleman,(325) 357-4449,PK,12,Yes,No,No,Yes,144,19,7.5,0.67,0,0,0,0.21,0,0.02,0.77,50.8
Boling High School,https://www.schooldigger.com/go/TX/schools/1078000541/school.aspx,Boling Independent School District,https://www.schooldigger.com/go/TX/district/10780/search.aspx,Boling,https://www.schooldigger.com/go/TX/city/Boling/search.aspx,77420,Wharton,(979) 657-2816,9,12,Yes,No,No,Yes,328,24,13.6,0.44,0.09,0,0,0.54,0,0.02,0.35,50.8
Grapeland High School,https://www.schooldigger.com/go/TX/schools/2163002177/school.aspx,Grapeland Independent School District,https://www.schooldigger.com/go/TX/district/21630/search.aspx,Grapeland,https://www.schooldigger.com/go/TX/city/Grapeland/search.aspx,75844,Houston,(936) 687-4661,9,12,Yes,No,No,Yes,155,17,9.1,0.57,0.27,0,0,0.06,0.01,0.01,0.66,50.7
Smith High School,https://www.schooldigger.com/go/TX/schools/1305000803/school.aspx,Carrollton-Farmers Branch Independent School District,https://www.schooldigger.com/go/TX/district/13050/search.aspx,Carrollton,https://www.schooldigger.com/go/TX/city/Carrollton/search.aspx,75006,Dallas,(972) 968-5200,9,12,Yes,No,No,Yes,1973,126,15.6,0.6,0.23,0,0.07,0.51,0,0.02,0.18,50.7
Blum High School,https://www.schooldigger.com/go/TX/schools/1065000534/school.aspx,Blum Independent School District,https://www.schooldigger.com/go/TX/district/10650/search.aspx,Blum,https://www.schooldigger.com/go/TX/city/Blum/search.aspx,76627,Hill,(254) 874-5231,6,12,Yes,No,No,No,190,18,10.5,0.54,0.02,0,0,0.15,0,0.01,0.82,50.6
Frost High School,https://www.schooldigger.com/go/TX/schools/2004001959/school.aspx,Frost Independent School District,https://www.schooldigger.com/go/TX/district/20040/search.aspx,Frost,https://www.schooldigger.com/go/TX/city/Frost/search.aspx,76641,Navarro,(903) 682-2541,6,12,Yes,No,No,No,196,18,10.8,0.53,0.02,0.01,0,0.34,0,0.04,0.59,50.5
Pace High School,https://www.schooldigger.com/go/TX/schools/1168000643/school.aspx,Brownsville Independent School District,https://www.schooldigger.com/go/TX/district/11680/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78520,Cameron,(956) 548-7700,9,12,Yes,No,No,No,1922,138,13.9,0.97,0,0,0,0.99,0,0,0.01,50.5
Lefors School,https://www.schooldigger.com/go/TX/schools/2709003047/school.aspx,Lefors Independent School District,https://www.schooldigger.com/go/TX/district/27090/search.aspx,Lefors,https://www.schooldigger.com/go/TX/city/Lefors/search.aspx,79054,Gray,(806) 835-2533,PK,12,Yes,No,No,Yes,164,17,9.6,0.61,0,0,0,0.14,0,0.04,0.82,50.4
Madisonville High School,https://www.schooldigger.com/go/TX/schools/2871003251/school.aspx,Madisonville Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/28710/search.aspx,Madisonville,https://www.schooldigger.com/go/TX/city/Madisonville/search.aspx,77864,Madison,(936) 348-2721,9,12,Yes,No,No,Yes,611,52,11.7,0.67,0.22,0,0.01,0.31,0,0.01,0.45,50.4
Texas High School,https://www.schooldigger.com/go/TX/schools/4248004854/school.aspx,Texarkana Independent School District,https://www.schooldigger.com/go/TX/district/42480/search.aspx,Texarkana,https://www.schooldigger.com/go/TX/city/Texarkana/search.aspx,75503,Bowie,(903) 794-3891,9,12,Yes,No,No,Yes,1845,147,12.5,0.56,0.42,0.01,0.01,0.12,0,0.03,0.42,50.4
Horn High School,https://www.schooldigger.com/go/TX/schools/3039008764/school.aspx,Mesquite Independent School District,https://www.schooldigger.com/go/TX/district/30390/search.aspx,Mesquite,https://www.schooldigger.com/go/TX/city/Mesquite/search.aspx,75181,Dallas,(972) 882-5200,9,12,Yes,No,No,Yes,2284,140,16.3,0.49,0.36,0,0.03,0.37,0,0.02,0.21,50.2
Martinsville School,https://www.schooldigger.com/go/TX/schools/2925003305/school.aspx,Martinsville Independent School District,https://www.schooldigger.com/go/TX/district/29250/search.aspx,Martinsville,https://www.schooldigger.com/go/TX/city/Martinsville/search.aspx,75961,Nacogdoches,(936) 564-3455,PK,12,Yes,No,No,Yes,365,38,9.6,0.43,0.05,0,0,0.12,0,0.03,0.8,50.2
Lone Oak High School,https://www.schooldigger.com/go/TX/schools/2802003137/school.aspx,Lone Oak Independent School District,https://www.schooldigger.com/go/TX/district/28020/search.aspx,Lone Oak,https://www.schooldigger.com/go/TX/city/Lone+Oak/search.aspx,75453,Hunt,(903) 662-0981,9,12,Yes,No,No,No,315,29,10.8,0.39,0.04,0.01,0.01,0.08,0,0.02,0.84,50.1
Texas Connections Academy At Houston,https://www.schooldigger.com/go/TX/schools/2364012363/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77042,Harris,(281) 661-8293,3,12,Yes,Yes,No,Yes,4444,,,0.44,0.12,0.01,0.03,0.26,0,0.03,0.55,50
Big Sandy High School,https://www.schooldigger.com/go/TX/schools/1014000470/school.aspx,Big Sandy Independent School District,https://www.schooldigger.com/go/TX/district/10140/search.aspx,Big Sandy,https://www.schooldigger.com/go/TX/city/Big+Sandy/search.aspx,75755,Upshur,(903) 636-5287,9,12,Yes,No,No,Yes,191,22,8.6,0.49,0.13,0,0,0.11,0,0.06,0.7,50
United High School,https://www.schooldigger.com/go/TX/schools/4365004962/school.aspx,United Independent School District,https://www.schooldigger.com/go/TX/district/43650/search.aspx,Laredo,https://www.schooldigger.com/go/TX/city/Laredo/search.aspx,78045,Webb,(956) 473-5600,9,12,Yes,No,No,No,4157,225,18.4,0.56,0,0,0.01,0.98,0,0,0.01,49.9
Memorial High School,https://www.schooldigger.com/go/TX/schools/2967005548/school.aspx,McAllen Independent School District,https://www.schooldigger.com/go/TX/district/29670/search.aspx,McAllen,https://www.schooldigger.com/go/TX/city/McAllen/search.aspx,78501,Hidalgo,(956) 632-5201,9,12,Yes,No,No,No,2246,155,14.4,0.55,0,0,0.02,0.93,0,0,0.05,49.9
Ingram Tom Moore High School,https://www.schooldigger.com/go/TX/schools/2421005510/school.aspx,Ingram Independent School District,https://www.schooldigger.com/go/TX/district/24210/search.aspx,Ingram,https://www.schooldigger.com/go/TX/city/Ingram/search.aspx,78025,Kerr,(830) 367-4111,9,12,Yes,No,No,No,343,25,13.7,0.62,0.01,0.01,0.01,0.44,0.01,0.03,0.5,49.9
Huntington High School,https://www.schooldigger.com/go/TX/schools/2400002654/school.aspx,Huntington Independent School District,https://www.schooldigger.com/go/TX/district/24000/search.aspx,Huntington,https://www.schooldigger.com/go/TX/city/Huntington/search.aspx,75949,Angelina,(936) 876-4150,9,12,Yes,No,No,Yes,555,37,15,0.41,0.01,0,0,0.07,0,0.02,0.9,49.9
Malakoff High School,https://www.schooldigger.com/go/TX/schools/2878003258/school.aspx,Malakoff Independent School District,https://www.schooldigger.com/go/TX/district/28780/search.aspx,Malakoff,https://www.schooldigger.com/go/TX/city/Malakoff/search.aspx,75148,Henderson,(903) 489-1527,9,12,Yes,No,No,Yes,320,32,10,0.64,0.11,0,0,0.18,0,0.03,0.68,49.9
Robinson High School,https://www.schooldigger.com/go/TX/schools/3741004198/school.aspx,Robinson Independent School District,https://www.schooldigger.com/go/TX/district/37410/search.aspx,Robinson,https://www.schooldigger.com/go/TX/city/Robinson/search.aspx,76706,McLennan,(254) 662-3840,9,12,Yes,No,No,Yes,723,63,11.4,0.23,0.04,0.01,0,0.24,0,0.03,0.69,49.9
Premier H S Of Abilene,https://www.schooldigger.com/go/TX/schools/0020708378/school.aspx,Premier High Schools,https://www.schooldigger.com/go/TX/district/00207/search.aspx,Abilene,https://www.schooldigger.com/go/TX/city/Abilene/search.aspx,79605,Taylor,(325) 698-8111,9,12,Yes,Yes,No,Yes,177,10,17.7,0.53,0.07,0.01,0.01,0.22,0,0.02,0.68,49.8
Stamford High School,https://www.schooldigger.com/go/TX/schools/4140004737/school.aspx,Stamford Independent School District,https://www.schooldigger.com/go/TX/district/41400/search.aspx,Stamford,https://www.schooldigger.com/go/TX/city/Stamford/search.aspx,79553,Jones,(325) 773-2701,9,12,Yes,No,No,No,166,20,8.3,0.64,0.08,0,0,0.47,0,0.04,0.4,49.8
Childress High School,https://www.schooldigger.com/go/TX/schools/1386000871/school.aspx,Childress Independent School District,https://www.schooldigger.com/go/TX/district/13860/search.aspx,Childress,https://www.schooldigger.com/go/TX/city/Childress/search.aspx,79201,Childress,(940) 937-6131,9,12,Yes,No,No,Yes,306,31,9.8,0.47,0.06,0.02,0.01,0.36,0,0.02,0.54,49.8
West Rusk High School,https://www.schooldigger.com/go/TX/schools/4515005151/school.aspx,West Rusk County Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/45150/search.aspx,New London,https://www.schooldigger.com/go/TX/city/New+London/search.aspx,75682,Rusk,(903) 895-4428,9,12,Yes,No,No,No,289,28,10.3,0.55,0.14,0.01,0,0.22,0,0.03,0.61,49.7
Cherokee School,https://www.schooldigger.com/go/TX/schools/1374000866/school.aspx,Cherokee Independent School District,https://www.schooldigger.com/go/TX/district/13740/search.aspx,Cherokee,https://www.schooldigger.com/go/TX/city/Cherokee/search.aspx,76832,San Saba,(325) 622-4298,KG,12,Yes,No,No,Yes,113,18,6.2,0.68,0.04,0.01,0.01,0.25,0,0.02,0.67,49.7
Yes Prep North Forest,https://www.schooldigger.com/go/TX/schools/0020912959/school.aspx,Yes Prep Public Schools Inc,https://www.schooldigger.com/go/TX/district/00209/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77050,Harris,(713) 967-9000,6,12,Yes,Yes,No,No,752,52,14.4,0.86,0.28,0,0,0.7,0,0,0.01,49.7
Waxahachie High School,https://www.schooldigger.com/go/TX/schools/4473005095/school.aspx,Waxahachie Independent School District,https://www.schooldigger.com/go/TX/district/44730/search.aspx,Waxahachie,https://www.schooldigger.com/go/TX/city/Waxahachie/search.aspx,75165,Ellis,(972) 923-4600,9,12,Yes,No,No,No,1985,138,14.3,0.42,0.13,0,0,0.35,0,0.03,0.49,49.7
Timpson High School,https://www.schooldigger.com/go/TX/schools/4284004886/school.aspx,Timpson Independent School District,https://www.schooldigger.com/go/TX/district/42840/search.aspx,Timpson,https://www.schooldigger.com/go/TX/city/Timpson/search.aspx,75975,Shelby,(936) 254-3125,9,12,Yes,No,No,No,150,18,8.3,0.58,0.25,0,0,0.09,0,0.02,0.63,49.6
West Brook Senior High School,https://www.schooldigger.com/go/TX/schools/0967005951/school.aspx,Beaumont Independent School District,https://www.schooldigger.com/go/TX/district/09670/search.aspx,Beaumont,https://www.schooldigger.com/go/TX/city/Beaumont/search.aspx,77706,Jefferson,(409) 617-5500,9,12,Yes,No,No,Yes,2407,123,19.5,0.46,0.41,0,0.07,0.21,0,0.03,0.28,49.6
Skidmore-Tynan High School,https://www.schooldigger.com/go/TX/schools/4041004576/school.aspx,Skidmore-Tynan Independent School District,https://www.schooldigger.com/go/TX/district/40410/search.aspx,Skidmore,https://www.schooldigger.com/go/TX/city/Skidmore/search.aspx,78389,Bee,(361) 287-3426,9,12,Yes,No,No,Yes,256,24,10.6,0.46,0,0,0.01,0.67,0,0,0.32,49.6
Quitman High School,https://www.schooldigger.com/go/TX/schools/3630004078/school.aspx,Quitman Independent School District,https://www.schooldigger.com/go/TX/district/36300/search.aspx,Quitman,https://www.schooldigger.com/go/TX/city/Quitman/search.aspx,75783,Wood,(903) 763-5000,9,12,Yes,No,No,Yes,305,33,9.2,0.41,0.02,0.01,0,0.2,0,0.03,0.74,49.5
Floresville High School,https://www.schooldigger.com/go/TX/schools/1935001792/school.aspx,Floresville Independent School District,https://www.schooldigger.com/go/TX/district/19350/search.aspx,Floresville,https://www.schooldigger.com/go/TX/city/Floresville/search.aspx,78114,Wilson,(830) 393-5370,9,12,Yes,No,No,Yes,1191,76,15.6,0.41,0.01,0.01,0,0.62,0,0.01,0.35,49.5
Cross Plains High School,https://www.schooldigger.com/go/TX/schools/1581001150/school.aspx,Cross Plains Independent School District,https://www.schooldigger.com/go/TX/district/15810/search.aspx,Cross Plains,https://www.schooldigger.com/go/TX/city/Cross+Plains/search.aspx,76443,Callahan,(254) 725-6121,7,12,Yes,No,No,Yes,142,15,9.4,0.56,0,0,0,0.09,0,0.01,0.9,49.5
Dickinson High School,https://www.schooldigger.com/go/TX/schools/1707001477/school.aspx,Dickinson Independent School District,https://www.schooldigger.com/go/TX/district/17070/search.aspx,Dickinson,https://www.schooldigger.com/go/TX/city/Dickinson/search.aspx,77539,Galveston,(281) 229-6400,9,12,Yes,No,No,No,2654,155,17.1,0.54,0.19,0.01,0.03,0.44,0,0.02,0.31,49.5
Karnes City High School,https://www.schooldigger.com/go/TX/schools/2514002803/school.aspx,Karnes City Independent School District,https://www.schooldigger.com/go/TX/district/25140/search.aspx,Karnes City,https://www.schooldigger.com/go/TX/city/Karnes+City/search.aspx,78118,Karnes,(830) 780-2321,9,12,Yes,No,No,Yes,278,25,11.1,0.44,0.02,0,0,0.67,0,0.01,0.3,49.5
Rogers High School,https://www.schooldigger.com/go/TX/schools/3771004225/school.aspx,Rogers Independent School District,https://www.schooldigger.com/go/TX/district/37710/search.aspx,Rogers,https://www.schooldigger.com/go/TX/city/Rogers/search.aspx,76569,Bell,(254) 642-3224,9,12,Yes,No,No,No,305,24,12.7,0.37,0.02,0.01,0.01,0.24,0,0.02,0.72,49.4
Eastlake High School,https://www.schooldigger.com/go/TX/schools/4071011391/school.aspx,Socorro Independent School District,https://www.schooldigger.com/go/TX/district/40710/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79928,El Paso,(915) 937-3600,9,12,Yes,No,No,Yes,1851,94,19.6,0.69,0.03,0,0.01,0.93,0,0,0.04,49.3
Alba-Golden High School,https://www.schooldigger.com/go/TX/schools/0765000053/school.aspx,Alba-Golden Independent School District,https://www.schooldigger.com/go/TX/district/07650/search.aspx,Alba,https://www.schooldigger.com/go/TX/city/Alba/search.aspx,75410,Wood,(903) 768-2472,6,12,Yes,No,No,No,409,40,10.2,0.47,0,0,0.01,0.13,0,0.02,0.85,49.3
North Lamar High School,https://www.schooldigger.com/go/TX/schools/3301003667/school.aspx,North Lamar Independent School District,https://www.schooldigger.com/go/TX/district/33010/search.aspx,Paris,https://www.schooldigger.com/go/TX/city/Paris/search.aspx,75460,Lamar,(903) 737-2011,9,12,No,No,No,No,879,71,12.3,0.38,0.06,0.02,0.01,0.06,0,0.02,0.83,49.3
Leonard High School,https://www.schooldigger.com/go/TX/schools/2721003054/school.aspx,Leonard Independent School District,https://www.schooldigger.com/go/TX/district/27210/search.aspx,Leonard,https://www.schooldigger.com/go/TX/city/Leonard/search.aspx,75452,Fannin,(903) 587-3556,9,12,Yes,No,No,No,285,25,11.4,0.45,0.05,0.02,0.01,0.14,0,0.03,0.76,49.3
Henderson High School,https://www.schooldigger.com/go/TX/schools/2297002325/school.aspx,Henderson Independent School District,https://www.schooldigger.com/go/TX/district/22970/search.aspx,Henderson,https://www.schooldigger.com/go/TX/city/Henderson/search.aspx,75653,Rusk,(903) 655-5500,9,12,Yes,No,No,Yes,961,70,13.7,0.56,0.16,0.01,0.01,0.28,0,0.01,0.53,49.2
Lopez High School,https://www.schooldigger.com/go/TX/schools/1168003324/school.aspx,Brownsville Independent School District,https://www.schooldigger.com/go/TX/district/11680/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78521,Cameron,(956) 982-7400,9,12,Yes,No,No,No,2122,150,14.1,1,0,0,0,1,0,0,0,49.2
Blue Ridge High School,https://www.schooldigger.com/go/TX/schools/1059000531/school.aspx,Blue Ridge Independent School District,https://www.schooldigger.com/go/TX/district/10590/search.aspx,Blue Ridge,https://www.schooldigger.com/go/TX/city/Blue+Ridge/search.aspx,75424,Collin,(972) 752-5554,9,12,Yes,No,No,No,187,17,11,0.47,0,0.01,0.01,0.14,0,0.01,0.83,49
Elkhart High School,https://www.schooldigger.com/go/TX/schools/1839001732/school.aspx,Elkhart Independent School District,https://www.schooldigger.com/go/TX/district/18390/search.aspx,Elkhart,https://www.schooldigger.com/go/TX/city/Elkhart/search.aspx,75839,Anderson,(903) 764-5161,9,12,Yes,No,No,Yes,355,32,11,0.45,0.04,0,0.02,0.07,0,0.03,0.84,49
Meridian High School,https://www.schooldigger.com/go/TX/schools/3030003394/school.aspx,Meridian Independent School District,https://www.schooldigger.com/go/TX/district/30300/search.aspx,Meridian,https://www.schooldigger.com/go/TX/city/Meridian/search.aspx,76665,Bosque,(254) 435-2723,6,12,Yes,No,No,Yes,259,28,9.2,0.53,0.04,0,0,0.32,0,0.03,0.62,48.9
Venus High School,https://www.schooldigger.com/go/TX/schools/4401004993/school.aspx,Venus Independent School District,https://www.schooldigger.com/go/TX/district/44010/search.aspx,Venus,https://www.schooldigger.com/go/TX/city/Venus/search.aspx,76084,Johnson,(972) 366-8815,9,12,Yes,No,No,Yes,518,38,13.6,0.68,0.05,0.02,0.01,0.48,0,0.01,0.44,48.9
Brewer High School,https://www.schooldigger.com/go/TX/schools/4554005175/school.aspx,White Settlement Independent School District,https://www.schooldigger.com/go/TX/district/45540/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76108,Tarrant,(817) 367-1200,9,12,Yes,No,No,No,1730,104,16.6,0.45,0.06,0.01,0.02,0.36,0,0.04,0.51,48.9
Harmony Science Academy - Dallas,https://www.schooldigger.com/go/TX/schools/0029212542/school.aspx,Harmony Science Academy (Waco),https://www.schooldigger.com/go/TX/district/00292/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75243,Dallas,(972) 234-7878,KG,12,Yes,Yes,No,No,1233,82,15,0.81,0.14,0,0.03,0.75,0,0.01,0.07,48.8
Leon High School,https://www.schooldigger.com/go/TX/schools/2718003052/school.aspx,Leon Independent School District,https://www.schooldigger.com/go/TX/district/27180/search.aspx,Jewett,https://www.schooldigger.com/go/TX/city/Jewett/search.aspx,75846,Leon,(903) 626-1475,9,12,Yes,No,No,No,229,28,8.1,0.38,0.02,0,0.03,0.18,0,0,0.76,48.7
Throckmorton School,https://www.schooldigger.com/go/TX/schools/4278004880/school.aspx,Throckmorton Independent School District,https://www.schooldigger.com/go/TX/district/42780/search.aspx,Throckmorton,https://www.schooldigger.com/go/TX/city/Throckmorton/search.aspx,76483,Throckmorton,(940) 849-2421,PK,12,Yes,No,No,No,195,23,8.4,0.47,0.02,0.01,0.01,0.19,0,0.01,0.78,48.7
George West High School,https://www.schooldigger.com/go/TX/schools/2055002065/school.aspx,George West Independent School District,https://www.schooldigger.com/go/TX/district/20550/search.aspx,George West,https://www.schooldigger.com/go/TX/city/George+West/search.aspx,78022,Live Oak,(361) 449-1914,9,12,No,No,No,No,339,32,10.5,0.4,0.01,0,0.01,0.49,0,0,0.48,48.6
Avalon School,https://www.schooldigger.com/go/TX/schools/0903000374/school.aspx,Avalon Independent School District,https://www.schooldigger.com/go/TX/district/09030/search.aspx,Avalon,https://www.schooldigger.com/go/TX/city/Avalon/search.aspx,76623,Ellis,(972) 627-3251,PK,12,Yes,No,No,No,372,26,14.3,0.61,0.01,0,0,0.35,0,0,0.63,48.6
